date,pm25,pm10,o3,no2,so2,co
04-09-2021,544,54,24,6,2,4
05-09-2021,102,38,37,7,4,4
06-09-2021,82,25,17,5,7,4
07-09-2021,51,24,36,5,4,4
08-09-2021,60,29,20,5,2,4
09-09-2021,65,42,44,7,3,5
10-09-2021,82,26,20,6,2,4
11-09-2021,57,28,22,5,2,3
12-09-2021,63,21,36,4,4,3
13-09-2021,40,15,19,6,2,2
14-09-2021,35,22,31,4,3,3
15-09-2021,45,39,20,6,2,4
16-09-2021,78,46,34,7,3,5
17-09-2021,81,58,21,6,2,5
18-09-2021,99,50,20,6,8,5
19-09-2021,106,37,36,6,3,4
20-09-2021,69,27,19,5,2,3
21-09-2021,53,32,27,6,2,5
22-09-2021,64,50,21,7,2,5
23-09-2021,88,51,17,8,2,6
24-09-2021,90,63,28,9,2,6
25-09-2021,118,55,23,10,2,6
26-09-2021,106,44,26,8,3,6
27-09-2021,79,32,34,6,5,5
28-09-2021,63,13,18,5,3,4
29-09-2021,36,21,26,6,8,2
30-09-2021,72,23,15,4,2,4
01-04-2021,161,118,43,15,3,7
02-04-2021,159,99,35,12,3,5
03-04-2021,149,129,40,14,3,6
04-04-2021,163,88,48,9,3,6
05-04-2021,144,91,32,10,4,5
06-04-2021,138,80,32,8,4,4
07-04-2021,130,82,31,9,3,4
08-04-2021,123,88,24,13,3,4
09-04-2021,140,75,35,12,3,5
10-04-2021,132,81,32,10,3,4
11-04-2021,125,83,42,14,2,6
12-04-2021,128,83,38,12,2,5
13-04-2021,140,87,42,12,2,6
14-04-2021,137,103,33,12,2,6
15-04-2021,152,90,34,12,2,6
16-04-2021,140,78,28,9,2,4
17-04-2021,135,67,29,10,5,3
18-04-2021,112,81,26,16,3,5
19-04-2021,115,93,32,14,3,6
20-04-2021,141,67,37,9,3,5
21-04-2021,107,74,25,11,3,4
22-04-2021,131,88,42,12,3,6
23-04-2021,150,85,30,11,4,4
24-04-2021,139,93,40,13,4,5
25-04-2021,148,104,35,13,4,5
26-04-2021,153,95,44,17,4,8
27-04-2021,134,80,30,12,3,4
28-04-2021,134,71,35,9,4,4
29-04-2021,113,67,21,11,5,3
30-04-2021,119,55,28,10,5,4
01-05-2021,101,77,17,11,4,4
02-05-2021,146,64,36,8,3,5
03-05-2021,126,67,25,11,3,4
04-05-2021,135,66,25,9,3,4
05-05-2021,129,44,17,9,3,3
06-05-2021,84,39,33,8,3,4
07-05-2021,78,49,24,9,4,4
08-05-2021,91,55,18,10,4,4
09-05-2021,105,57,45,8,3,5
10-05-2021,114,43,18,8,3,3
11-05-2021,86,37,18,8,4,4
12-05-2021,73,65,24,10,4,5
13-05-2021,126,62,39,9,4,5
14-05-2021,118,61,24,9,4,4
15-05-2021,106,62,24,9,7,3
16-05-2021,118,55,25,10,4,4
17-05-2021,105,63,26,9,4,4
18-05-2021,130,60,22,10,4,5
19-05-2021,114,32,32,8,6,4
20-05-2021,64,55,22,9,2,4
21-05-2021,95,55,24,9,2,5
22-05-2021,110,53,23,9,2,3
23-05-2021,107,64,22,10,2,5
24-05-2021,125,37,12,8,2,4
25-05-2021,76,26,27,6,6,2
26-05-2021,57,25,16,6,2,3
27-05-2021,57,41,11,5,2,3
28-05-2021,73,56,10,6,2,3
